sepal_length,sepal_width,petal_length,petal_length 
5.1,3.5,1.4,0.20
4.9,3.0,1.4,0.20
4.7,3.2,1.3,0.20
4.6,3.1,1.5,0.20
5.0,3.6,1.4,0.20
5.4,3.9,1.7,0.40
4.6,3.4,1.4,0.30
5.0,3.4,1.5,0.20
4.4,2.9,1.4,0.20
4.9,3.1,1.5,0.10
5.4,3.7,1.5,0.20
4.8,3.4,1.6,0.20
4.8,3.0,1.4,0.10
4.3,3.0,1.1,0.10
5.8,4.0,1.2,0.20
5.7,4.4,1.5,0.40
5.4,3.9,1.3,0.40
5.1,3.5,1.4,0.30
5.7,3.8,1.7,0.30
5.1,3.8,1.5,0.30
5.4,3.4,1.7,0.20
5.1,3.7,1.5,0.40
4.6,3.6,1.0,0.20
5.1,3.3,1.7,0.50
4.8,3.4,1.9,0.20
5.0,3.0,1.6,0.20
5.0,3.4,1.6,0.40
5.2,3.5,1.5,0.20
5.2,3.4,1.4,0.20
4.7,3.2,1.6,0.20
4.8,3.1,1.6,0.20
5.4,3.4,1.5,0.40
5.2,4.1,1.5,0.10
5.5,4.2,1.4,0.20
4.9,3.1,1.5,0.10
5.0,3.2,1.2,0.20
5.5,3.5,1.3,0.20
4.9,3.1,1.5,0.10
4.4,3.0,1.3,0.20
5.1,3.4,1.5,0.20
5.0,3.5,1.3,0.30
4.5,2.3,1.3,0.30
4.4,3.2,1.3,0.20
5.0,3.5,1.6,0.60
5.1,3.8,1.9,0.40
4.8,3.0,1.4,0.30
5.1,3.8,1.6,0.20
4.6,3.2,1.4,0.20
5.3,3.7,1.5,0.20
5.0,3.3,1.4,0.20
7.0,3.2,4.7,1.40
6.4,3.2,4.5,1.50
6.9,3.1,4.9,1.50
5.5,2.3,4.0,1.30
6.5,2.8,4.6,1.50
5.7,2.8,4.5,1.30
6.3,3.3,4.7,1.60
4.9,2.4,3.3,1.00
6.6,2.9,4.6,1.30
5.2,2.7,3.9,1.40
5.0,2.0,3.5,1.00
5.9,3.0,4.2,1.50
6.0,2.2,4.0,1.00
6.1,2.9,4.7,1.40
5.6,2.9,3.6,1.30
6.7,3.1,4.4,1.40
5.6,3.0,4.5,1.50
5.8,2.7,4.1,1.00
6.2,2.2,4.5,1.50
5.6,2.5,3.9,1.10
5.9,3.2,4.8,1.80
6.1,2.8,4.0,1.30
6.3,2.5,4.9,1.50
6.1,2.8,4.7,1.20
6.4,2.9,4.3,1.30
6.6,3.0,4.4,1.40
6.8,2.8,4.8,1.40
6.7,3.0,5.0,1.70
6.0,2.9,4.5,1.50
5.7,2.6,3.5,1.00
5.5,2.4,3.8,1.10
5.5,2.4,3.7,1.00
5.8,2.7,3.9,1.20
6.0,2.7,5.1,1.60
5.4,3.0,4.5,1.50
6.0,3.4,4.5,1.60
6.7,3.1,4.7,1.50
6.3,2.3,4.4,1.30
5.6,3.0,4.1,1.30
5.5,2.5,4.0,1.30
5.5,2.6,4.4,1.20
6.1,3.0,4.6,1.40
5.8,2.6,4.0,1.20
5.0,2.3,3.3,1.00
5.6,2.7,4.2,1.30
5.7,3.0,4.2,1.20
5.7,2.9,4.2,1.30
6.2,2.9,4.3,1.30
5.1,2.5,3.0,1.10
5.7,2.8,4.1,1.30
6.3,3.3,6.0,2.50
5.8,2.7,5.1,1.90
7.1,3.0,5.9,2.10
6.3,2.9,5.6,1.80
6.5,3.0,5.8,2.20
7.6,3.0,6.6,2.10
4.9,2.5,4.5,1.70
7.3,2.9,6.3,1.80
6.7,2.5,5.8,1.80
7.2,3.6,6.1,2.50
6.5,3.2,5.1,2.00
6.4,2.7,5.3,1.90
6.8,3.0,5.5,2.10
5.7,2.5,5.0,2.00
5.8,2.8,5.1,2.40
6.4,3.2,5.3,2.30
6.5,3.0,5.5,1.80
7.7,3.8,6.7,2.20
7.7,2.6,6.9,2.30
6.0,2.2,5.0,1.50
6.9,3.2,5.7,2.30
5.6,2.8,4.9,2.00
7.7,2.8,6.7,2.00
6.3,2.7,4.9,1.80
6.7,3.3,5.7,2.10
7.2,3.2,6.0,1.80
6.2,2.8,4.8,1.80
6.1,3.0,4.9,1.80
6.4,2.8,5.6,2.10
7.2,3.0,5.8,1.60
7.4,2.8,6.1,1.90
7.9,3.8,6.4,2.00
6.4,2.8,5.6,2.20
6.3,2.8,5.1,1.50
6.1,2.6,5.6,1.40
7.7,3.0,6.1,2.30
6.3,3.4,5.6,2.40
6.4,3.1,5.5,1.80
6.0,3.0,4.8,1.80
6.9,3.1,5.4,2.10
6.7,3.1,5.6,2.40
6.9,3.1,5.1,2.30
5.8,2.7,5.1,1.90
6.8,3.2,5.9,2.30
6.7,3.3,5.7,2.50
6.7,3.0,5.2,2.30
6.3,2.5,5.0,1.90
6.5,3.0,5.2,2.00
6.2,3.4,5.4,2.30
5.9,3.0,5.1,1.80

